Symptom Description,Specialization
There seems to be an ear infection causing pain and discomfort.,Pediatrician
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
My skin feels extremely dry and sometimes cracks open.,Dermatologist
My gums bleed every time I brush my teeth.,Dentist
I’ve been forgetting things lately and find it hard to concentrate.,Neurologist
I experience frequent migraines accompanied by nausea and sensitivity to light.,Neurologist
My shoulder feels swollen and I have limited movement.,Orthopedic
I have been experiencing a persistent fever for the past few days.,General Physician
"I feel a sharp chest pain, especially when I exert myself.",Cardiologist
I think I might have developed cataracts as my vision is cloudy.,Ophthalmologist
"My hands tremble uncontrollably, especially when I’m holding objects.",Neurologist
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
I have red patches on my skin that are itchy and flaky.,Dermatologist
"I’ve had a cough that keeps getting worse, especially at night.",General Physician
Sometimes I feel numbness in my hands and feet without any injury.,Neurologist
I feel fatigued and unable to focus on my daily tasks.,General Physician
I experience shortness of breath even when doing light activities.,Cardiologist
My entire body feels achy and weak.,General Physician
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
My periods have become irregular and I experience severe cramps.,Gynecologist
"I feel a sharp chest pain, especially when I exert myself.",Cardiologist
I have a severe toothache that gets worse when I eat something cold.,Dentist
My periods have become irregular and I experience severe cramps.,Gynecologist
"My eyes feel extremely dry and irritated, especially in the evening.",Ophthalmologist
I’ve been forgetting things lately and find it hard to concentrate.,Neurologist
I have developed a persistent rash on my arms and neck.,Dermatologist
I have been experiencing a persistent fever for the past few days.,General Physician
I have developed a persistent rash on my arms and neck.,Dermatologist
Sometimes I feel numbness in my hands and feet without any injury.,Neurologist
I have been feeling very low and unmotivated for weeks now.,Psychiatrist
I have severe back pain that worsens when I sit for long periods.,Orthopedic
I’ve been forgetting things lately and find it hard to concentrate.,Neurologist
I have pelvic pain that intensifies during physical activity.,Gynecologist
There seems to be an ear infection causing pain and discomfort.,Pediatrician
My gums bleed every time I brush my teeth.,Dentist
I think I might have developed cataracts as my vision is cloudy.,Ophthalmologist
I feel stressed and unable to handle everyday challenges.,Psychiatrist
I experience shortness of breath even when doing light activities.,Cardiologist
"My eyes feel extremely dry and irritated, especially in the evening.",Ophthalmologist
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
My gums bleed every time I brush my teeth.,Dentist
I experience shortness of breath even when doing light activities.,Cardiologist
I’ve noticed bad breath even after brushing my teeth thoroughly.,Dentist
My periods have become irregular and I experience severe cramps.,Gynecologist
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
I have persistent eye pain and redness for the past few days.,Ophthalmologist
There seems to be an ear infection causing pain and discomfort.,Pediatrician
I feel sensitivity in my teeth whenever I eat something sweet.,Dentist
I have a constant headache that doesn’t go away with medication.,General Physician
"My vision has become blurry, and I find it hard to read small texts.",Ophthalmologist
I’ve been experiencing hot flashes and mood swings frequently.,Gynecologist
I have developed a persistent rash on my arms and neck.,Dermatologist
My periods have become irregular and I experience severe cramps.,Gynecologist
I have red patches on my skin that are itchy and flaky.,Dermatologist
"My eyes feel extremely dry and irritated, especially in the evening.",Ophthalmologist
My child has been running a high fever for the past two days.,Pediatrician
I have severe back pain that worsens when I sit for long periods.,Orthopedic
I have pelvic pain that intensifies during physical activity.,Gynecologist
I think I might have developed cataracts as my vision is cloudy.,Ophthalmologist
My child has been running a high fever for the past two days.,Pediatrician
I sustained a fracture in my arm and it still hurts after healing.,Orthopedic
I feel sensitivity in my teeth whenever I eat something sweet.,Dentist
I have developed a persistent rash on my arms and neck.,Dermatologist
My child has been running a high fever for the past two days.,Pediatrician
My shoulder feels swollen and I have limited movement.,Orthopedic
I feel sensitivity in my teeth whenever I eat something sweet.,Dentist
My entire body feels achy and weak.,General Physician
I have been experiencing a persistent fever for the past few days.,General Physician
"I feel anxious all the time, even when there’s nothing to worry about.",Psychiatrist
There seems to be an ear infection causing pain and discomfort.,Pediatrician
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
